                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7045,                 3.1737,                 3.6873,                 0.0131,                0.96552,                0.13079,                0.03484,                 2.5397,                 4.1572,                 3.5016,                0.09109,                  9e-05,                  9e-05
                      2,                  2.826,                 3.1327,                 3.5114,                0.01658,                0.96552,                0.21856,                0.05392,                 2.5403,                 4.4113,                 3.5028,               0.081186,             0.00018624,             0.00018624
                      3,                 2.6158,                 2.9848,                 3.3834,                0.01422,                0.93103,                0.10209,                0.02402,                 2.6672,                 5.1053,                 3.5447,               0.071279,             0.00027852,             0.00027852
                      4,                 2.6941,                 2.9541,                 3.3227,                0.01409,                0.93103,                0.09707,                0.02327,                 2.7334,                 3.6757,                  3.444,               0.061367,             0.00036683,             0.00036683
                      5,                 2.5691,                 3.0074,                 3.3062,                0.31591,                0.62069,                0.38303,                0.10227,                 2.0544,                 4.0183,                  3.309,               0.051451,             0.00045119,             0.00045119
                      6,                 2.5519,                 2.8178,                 3.2571,                0.47057,                0.51724,                 0.5515,                0.17463,                  2.035,                 6.5686,                 3.5375,               0.041532,             0.00053159,             0.00053159
                      7,                 2.4722,                 2.8093,                 3.1812,                0.43745,                0.67055,                0.56823,                0.20167,                 2.0036,                 4.1674,                 3.5084,               0.031608,             0.00060803,             0.00060803
                      8,                 2.3548,                 2.7489,                 3.1123,                0.39409,                0.41379,                 0.3855,                0.14186,                 1.9907,                 6.8919,                 3.2431,               0.021681,             0.00068051,             0.00068051
                      9,                 2.3249,                 2.6195,                 3.0867,                0.38096,                0.37931,                0.43645,                0.14197,                 1.9512,                 17.335,                 3.3382,               0.011749,             0.00074902,             0.00074902
                     10,                 2.2972,                 2.5254,                  3.027,                0.16973,                0.48276,                 0.1939,                0.07825,                 1.8116,                 15.698,                 3.0997,              0.0018136,             0.00081358,             0.00081358
                     11,                 2.1877,                 2.5555,                  2.992,                0.14432,                0.51724,                 0.1326,                0.04467,                 1.9954,                 5.4948,                 3.1825,               0.000802,               0.000802,               0.000802
                     12,                 2.1417,                 2.5842,                 2.9399,                0.25598,                0.48276,                0.35246,                0.11676,                  1.788,                 2.1592,                 2.9873,               0.000802,               0.000802,               0.000802
                     13,                 2.1618,                 2.4259,                 2.8685,                0.37141,                0.61137,                0.49853,                  0.192,                 1.8802,                 2.0996,                 3.1246,              0.0007822,              0.0007822,              0.0007822
                     14,                 2.1918,                 2.3949,                 2.9314,                0.48413,                0.48276,                0.46296,                0.16975,                 1.9097,                 4.3261,                 3.2518,              0.0007624,              0.0007624,              0.0007624
                     15,                 2.1054,                 2.4528,                 2.8626,                0.26135,                0.62069,                0.22049,                0.08773,                 1.7851,                 3.6957,                 2.9909,              0.0007426,              0.0007426,              0.0007426
                     16,                 2.0398,                 2.2837,                 2.7651,                0.16451,                0.24138,                0.11481,                0.02963,                 2.4916,                 3.5874,                 3.4301,              0.0007228,              0.0007228,              0.0007228
                     17,                 2.0724,                 2.2501,                  2.728,                 0.3327,                0.61896,                0.33159,                0.13006,                 1.9728,                 3.2246,                 3.0461,               0.000703,               0.000703,               0.000703
                     18,                 2.1007,                 2.2525,                 2.7723,                0.36992,                 0.5467,                 0.4338,                0.17454,                 2.0174,                  3.565,                 3.1456,              0.0006832,              0.0006832,              0.0006832
                     19,                 2.0498,                  2.202,                 2.7341,                0.40515,                0.75862,                0.49141,                0.19342,                 1.9421,                 2.9016,                 3.2619,              0.0006634,              0.0006634,              0.0006634
                     20,                 2.0636,                 2.2067,                  2.775,                0.34115,                0.62069,                 0.3757,                 0.1582,                 1.8941,                 3.7463,                 3.4091,              0.0006436,              0.0006436,              0.0006436
                     21,                 2.1071,                 2.2287,                 2.6612,                0.51297,                0.65517,                0.58758,                0.24853,                 1.8158,                 2.9764,                 3.2771,              0.0006238,              0.0006238,              0.0006238
                     22,                 2.0612,                 2.1909,                 2.7085,                0.48132,                0.75862,                0.55179,                0.22367,                  1.936,                 2.1856,                 3.1048,               0.000604,               0.000604,               0.000604
                     23,                 1.9962,                 2.2046,                 2.6663,                0.67806,                 0.6537,                0.69627,                 0.2997,                 1.9648,                 2.7185,                 3.1521,              0.0005842,              0.0005842,              0.0005842
                     24,                 1.9647,                 2.1463,                 2.6369,                0.60562,                0.65517,                0.65749,                0.26644,                 1.9338,                 3.9992,                 3.1318,              0.0005644,              0.0005644,              0.0005644
                     25,                 1.9549,                 2.1438,                 2.5851,                 0.5903,                 0.6957,                 0.6953,                0.31405,                 1.8939,                 3.2271,                 3.0325,              0.0005446,              0.0005446,              0.0005446
                     26,                 1.9206,                 2.0967,                 2.6063,                 0.5558,                0.62069,                0.65444,                0.28861,                 1.7254,                 2.4577,                 2.7909,              0.0005248,              0.0005248,              0.0005248
                     27,                 2.0015,                 2.1133,                 2.6445,                0.63872,                0.67088,                0.61783,                0.25163,                 1.8144,                 2.3945,                 2.8575,               0.000505,               0.000505,               0.000505
                     28,                 1.9051,                 2.0199,                 2.5087,                0.55944,                0.65517,                 0.6123,                0.29886,                 1.6104,                 2.1536,                 2.7394,              0.0004852,              0.0004852,              0.0004852
                     29,                 1.9522,                 2.1015,                 2.5506,                0.60221,                0.75862,                0.75525,                0.37673,                 1.6017,                 2.2873,                 2.7415,              0.0004654,              0.0004654,              0.0004654
                     30,                 1.9307,                 2.1048,                 2.6426,                0.65744,                0.66197,                0.70041,                0.25095,                 1.8312,                 2.1442,                 2.8148,              0.0004456,              0.0004456,              0.0004456
                     31,                 1.9514,                 2.0773,                 2.5559,                0.54502,                0.62069,                 0.5779,                0.18029,                 2.1039,                 1.9173,                 2.9881,              0.0004258,              0.0004258,              0.0004258
                     32,                  1.857,                 2.0232,                 2.5792,                0.62155,                0.51724,                0.56462,                0.17255,                 2.3203,                  2.039,                 3.2327,               0.000406,               0.000406,               0.000406
                     33,                 1.8056,                 1.9415,                 2.4925,                0.66628,                0.68848,                0.68563,                0.23177,                 2.1073,                  2.069,                 3.1526,              0.0003862,              0.0003862,              0.0003862
                     34,                 1.8556,                 2.0154,                 2.4707,                0.60493,                0.84501,                 0.7449,                0.33403,                 1.8146,                 2.2221,                 2.9161,              0.0003664,              0.0003664,              0.0003664
                     35,                  1.831,                 1.9874,                 2.4781,                0.58379,                0.86207,                0.78664,                0.32798,                 1.8586,                 1.9238,                 2.8805,              0.0003466,              0.0003466,              0.0003466
                     36,                 1.7878,                 1.9063,                 2.4132,                0.56583,                0.76408,                0.73684,                0.28196,                 1.8404,                 1.6466,                 2.7566,              0.0003268,              0.0003268,              0.0003268
                     37,                 1.7723,                 1.9563,                 2.4704,                0.59552,                0.60948,                0.70985,                0.32242,                 1.7913,                 1.6741,                 2.7326,               0.000307,               0.000307,               0.000307
                     38,                 1.7029,                 1.8897,                 2.4421,                0.81481,                0.65517,                 0.7843,                 0.3614,                 1.7135,                 1.5459,                 2.6957,              0.0002872,              0.0002872,              0.0002872
                     39,                 1.8493,                 1.9225,                 2.4637,                 0.7427,                0.69694,                0.82848,                0.39095,                 1.6935,                 1.4904,                 2.6792,              0.0002674,              0.0002674,              0.0002674
                     40,                 1.7385,                 1.8716,                 2.3967,                0.77538,                 0.7931,                0.85418,                0.41277,                 1.6777,                 1.4646,                 2.6763,              0.0002476,              0.0002476,              0.0002476
                     41,                 1.8771,                 2.2208,                 2.6025,                0.71298,                0.86207,                0.84524,                0.40163,                  1.658,                 1.4441,                 2.6485,              0.0002278,              0.0002278,              0.0002278
                     42,                 1.7867,                 1.9742,                 2.5622,                0.74285,                0.93103,                0.87063,                 0.3913,                 1.7719,                 1.5868,                 2.7298,               0.000208,               0.000208,               0.000208
                     43,                 1.6946,                 1.7577,                 2.5166,                0.70285,                0.93103,                0.83841,                0.39603,                 1.7717,                 1.7252,                 2.7342,              0.0001882,              0.0001882,              0.0001882
                     44,                 1.6509,                 1.6913,                 2.5145,                0.84535,                0.75413,                0.85782,                0.43207,                 1.6857,                 1.6156,                 2.6888,              0.0001684,              0.0001684,              0.0001684
                     45,                 1.5707,                 1.6359,                 2.4558,                0.79654,                 0.7931,                0.88618,                0.44738,                 1.6626,                  1.524,                 2.6853,              0.0001486,              0.0001486,              0.0001486
                     46,                  1.599,                 1.7003,                 2.4658,                0.72433,                0.86207,                0.86606,                0.42247,                 1.6703,                 1.5797,                 2.6724,              0.0001288,              0.0001288,              0.0001288
                     47,                 1.5766,                 1.6776,                 2.4597,                0.79228,                0.86207,                0.87512,                  0.412,                 1.6676,                 1.5919,                 2.6591,               0.000109,               0.000109,               0.000109
                     48,                 1.5629,                 1.6342,                 2.4282,                0.75557,                0.89655,                0.86896,                  0.392,                 1.6703,                 1.5731,                 2.6545,               8.92e-05,               8.92e-05,               8.92e-05
                     49,                 1.5446,                 1.6333,                 2.3866,                 0.7356,                0.89655,                0.88397,                0.42081,                 1.6415,                 1.5327,                 2.6239,               6.94e-05,               6.94e-05,               6.94e-05
                     50,                 1.5352,                 1.5883,                 2.4155,                0.78231,                0.82759,                0.89849,                0.42616,                  1.628,                 1.4655,                 2.5979,               4.96e-05,               4.96e-05,               4.96e-05
